branch_id,group
T0,treated
T1,treated
T10,treated
T11,treated
T12,treated
T13,treated
T14,treated
T15,treated
T16,treated
T17,treated
T18,treated
T19,treated
T2,treated
T20,treated
T21,treated
T22,treated
T23,treated
T24,treated
T25,treated
T26,treated
T27,treated
T28,treated
T29,treated
T3,treated
T30,treated
T31,treated
T32,treated
T33,treated
T34,treated
T35,treated
T36,treated
T37,treated
T38,treated
T39,treated
T4,treated
T40,treated
T41,treated
T42,treated
T43,treated
C47,control
C48,control
C49,control
C50,control
C51,control
C52,control
C53,control
C54,control
C55,control
C56,control
C57,control
C58,control
C59,control
C60,control
C61,control
C62,control
C63,control
C64,control
C65,control
C66,control
C67,control
C68,control
C69,control
C70,control
C71,control
C72,control
C73,control
C74,control
C75,control
C76,control
C77,control
C78,control
C79,control
C80,control
C81,control
C82,control
C83,control
C84,control
C85,control
